"MIC","OPERATING MIC","OPRT/SGMT","MARKET NAME-INSTITUTION DESCRIPTION","LEGAL ENTITY NAME","LEI","MARKET CATEGORY CODE","ACRONYM","ISO COUNTRY CODE (ISO 3166)","CITY","WEBSITE","STATUS","CREATION DATE","LAST UPDATE DATE","LAST VALIDATION DATE","EXPIRY DATE","COMMENTS"
"UBEC","UBEC","OPRT","UNIVERSAL BARTER EXCHANGE CREDIT UNION","AMERICANOS ROYALE DIVINE INTERNATIONAL TRUST","2549008J7LUHSQ73SI26","NSPD","UBECU","US","ATLANTA","HTTP://AIROBOTCRYPTOBANK.COM","ACTIVE","20210524","20210524","","",""
"ENSL","ESLO","SGMT","ENGNSOL - OMP","ENGNSOL","254900Y8ZW19230JDZ89","NSPD","","FR","FIAC","HTTP://ENGNSOL.COM/","ACTIVE","20210426","20210426","20210426","","REGISTERED ORGANIZED MARKET PLACE (OMP) IN THE CAPACITY OF AN ENERGY BROKER PLATFORM."
"ESLO","ESLO","OPRT","ENGNSOL","ENGNSOL","254900Y8ZW19230JDZ89","NSPD","","FR","FIAC","HTTP://ENGNSOL.COM/","ACTIVE","20210426","20210426","20210426","",""
"IOTF","IOTF","OPRT","ICAP UK OTF","TP ICAP BROKING LIMITED","549300BMVW85YF9FGN67","OTFS","ISL OTF","GB","LONDON","WWW.TPICAP.COM/TPICAP/REGULATORY-HUB","ACTIVE","20171127","20220822","20220822","",""
"SEBA","SEBA","OPRT","STIFEL EUROPE BANK AG","STIFEL EUROPE BANK AG","529900MC68RTGHKI4F05","SINT","SEBA","DE","FRANKFURT","WWW.STIFEL.COM","ACTIVE","20210426","20210426",,"","SYSTEMATIC INTERNALISER."
"UBIM","UBIM","OPRT","UBI BANCA","","81560097964CBDAED282","SINT","UBI","IT","BERGAMO","WWW.UBIBANCA.IT","EXPIRED","20180723","20210426","20210426","20210426","SYSTEMATIC INTERNALISER."
"XUBS","XUBS","OPRT","AQUIS EXCHANGE PLC - AMP - DARK ORDER BOOK","AQUIS EXCHANGE PLC","213800IXJSF5E1SIW150","NSPD","","GB","LONDON","WWW.AQUIS.EU","EXPIRED","20100726","20220926","20220926","20220926",""
"XUMP","XUBS","SGMT","UBS MTF LIMITED - PERIODIC AUCTION ORDER BOOK","UBS MTF LIMITED","54930036444TZ5UWTY74","NSPD","","GB","LONDON","WWW.UBS.COM/MTF","EXPIRED","20171127","20220425",,"20220425","PERIODIC AUCTION ORDER BOOK."
"AMLG","AMLG","OPRT","AMERICAN LEDGER ATS","AMERICAN LEDGER ATS LLC","98450009EED4SDC3CA92","ATSS","","US","MOORPARK","WWW.AMERICANLEDGER.COM","EXPIRED","20210426","20221128",,"20220731","ALTERNATIVE TRADING SYSTEM."
"BRED","BRED","OPRT","BRED BANQUE POPULAIRE","BRED BANQUE POPULAIRE","NICH5Q04ADUV9SN3Q390","SINT","","FR","PARIS","WWW.BRED.FR","ACTIVE","20210426","20210426","20210426","","SYSTEMATIC INTERNALISER."
"DBMO","DBAG","SGMT","DEUTSCHE BANK - MANUAL OTC","DEUTSCHE BANK AG","7LTWFZYICNSX8D621K86","NSPD","MANUAL OTC","DE","FRANKFURT","HTTPS://AUTOBAHN.DB.COM/MICROSITE/HTML/EQUITY.HTML","ACTIVE","20141027","20210426","20210426","","DEUTSCHE BANK AG MARKET SEGMENT MARKET CODE FOR MANUAL OTC FILLS AS PER MMT2 STANDARD DEFINITION PROPOSED BY FIXPROTOCOL.ORG AND SUPPORTED BY EUROPEAN TDM'S(HTTP://WWW.BATSTRADING.CO.UK/BXTR/)"
"DBLN","DBAG","SGMT","DEUTSCHE BANK AG - LONDON","DEUTSCHE BANK AG","7LTWFZYICNSX8D621K86","SINT","","DE","FRANKFURT","WWW.DB.COM","ACTIVE","20181224","20210426","20210426","","SYSTEMATIC INTERNALISER."
"DBIX","DBIX","OPRT","DEUTSCHE BANK AG - LONDON","DEUTSCHE BANK AG",,"NSPD","","GB","LONDON","WWW.DB.COM","EXPIRED","20141027","20210426","20210426","20210426",""
"RUSX","RUSX","OPRT","NON-PROFIT PARTNERSHIP FOR THE DEVELOPMENT OF FINANCIAL MARKET RTS","NON-PROFIT PARTNERSHIP FOR THE DEVELOPMENT OF FINANCIAL MARKET RTS","253400S9DKA7JG1JWC41","NSPD","NP RTS","RU","MOSCOW","WWW.NPRTS.RU","ACTIVE","20141222","20210426","20210426","",""
"UNGB","UNGB","OPRT","UNICREDIT BANK AG - LONDON BRANCH - UK","UNICREDIT BANK AG","2ZCNRR8UK83OBTEK2170","SINT","","GB","LONDON","WWW.HYPOVEREINSBANK.DE","ACTIVE","20210426","20210426","20210426","","SYSTEMATIC INTERNALISER. MIC CODE FOR UNICREDIT ACTING AS AN SYSTEMATIC INTERNALISER UNDER UK MIFIR/MIFID."
"XLQC","XLQC","OPRT","LIQUIDITY CUBE PTY LTD","LIQUIDITY CUBE PTY LTD","984500CL44F9AA7FF209","OTFS","","AU","SYDNEY","WWW.LIQUIDITYCUBE.COM","ACTIVE","20210426","20210426","20210426","",""
"XMOS","XMOS","OPRT","CENTRAL COUNTERPARTY CLEARING CENTER MFB - JOINT-STOCK COMPANY","CENTRAL COUNTERPARTY CLEARING CENTER MFB - JOINT-STOCK COMPANY","253400RX2CP80AMV8V57","NSPD","MFB","RU","MOSCOW","HTTPS://MSE.RU","ACTIVE","20071126","20210426","20210426","","CENTRAL COUNTERPARTY OF PUBLIC JOINT-STOCK COMPANY SAINT PETERSBURG EXCHANGE COVERING A WIDE RANGE OF ASSETS CLASSES."
"ABXX","VMEX","SGMT","VENOMEX LIMITED (EX. YOSHI MARKETS)","VENOMEX LIMITED","984500DT1B79C9A7B343","MLTF","VMX","AE","ABU DHABI","WWW.VENOMEX.COM","ACTIVE","20210322","20221128","20221128","",""
"CFIC","CFIC","OPRT","CHINAFICC","CHINAFICC INTERNATIONAL HOLDINGS LTD","89450009PB956K9AQ693","NSPD","","GB","LONDON","HTTPS://CHINAFICC.GLOBAL","ACTIVE","20210322","20210322","","",""
"HBFR","HBFR","OPRT","HSBC CONTINENTAL EUROPE","HSBC CONTINENTAL EUROPE","F0HUI1NY1AZMJMD8LP67","SINT","","FR","PARIS","WWW.HSBC.FR","ACTIVE","20171023","20210322","20210322","","SYSTEMATIC INTERNALISER."
"KLSH","KLSH","OPRT","KALSHIEX LLC","KALSHIEX LLC","2549003BV2D6TWY0BN09","DCMS","KEX","US","NEW YORK","WWW.KALSHI.COM","ACTIVE","20210322","20210322","","","DESIGNATED CONTRACT MARKET."
